,0
0,42424.662383
1,21409.327858999997
2,34974.589185
3,115614.6356835
4,25875.387481949998
5,74320.042836
6,99649.395957
7,55630.704345
8,31281.928452500008
9,117976.33928250002
10,10264.55992635
11,111904.30754500002
12,31089.017807500008
13,101959.012501
14,261872.58579
15,56455.229873000004
16,34497.839099
17,31215.580915000006
18,21702.350883650004
19,17690.99035745
20,112384.714357
21,47780.37433199999
22,62426.166665000004
23,28486.767631000002
24,147454.54211850002
25,47720.807924500004
26,40510.317945500006
27,23575.157378000004
28,83150.676083
29,48688.1474265
30,28228.3645465
31,100190.88233200002
32,40123.4109935
33,56587.7723955
34,56307.12863549999
35,62987.5951845
36,189262.03074250004
37,190062.74292600004
38,235764.07139499998
39,86233.019657
40,374000.005825
41,97209.19826150002
42,202093.33781250002
43,115162.67728250001
44,174010.0107365
45,42370.793636500006
46,49242.5149885
47,60628.1905225
48,37082.652121
49,69866.33701300001
50,81374.97109600001
51,14588.991938800002
52,191354.65722499997
53,36424.37487300001
54,26624.411495
55,83115.5660305
56,54973.97420299998
57,79492.07411599999
58,79760.234309
59,206663.18517500002
60,66229.527617
61,24531.353245
62,92745.13749399998
63,31211.0446935
64,22649.725476499996
65,52477.085360000005
66,249328.97465500003
67,176220.466765
68,154423.4396975
69,48051.9826635
70,25381.60277050001
71,59436.441888000016
72,4586.290856675
73,108140.80094900003
74,39893.2166755
75,186081.026235
76,621110.7297349998
77,41411.514322
78,62640.07755100002
79,40761.31220500001
80,24536.098981000003
81,9290.908370950001
82,103701.674439
83,802331.1103259999
84,9714.047326299999
85,151949.19538
86,152874.711451
87,745014.952035
88,39184.05498849999
89,36502.4960222
90,11805.978726050002
91,52314.253826
92,32549.992851999996
93,53213.486785500005
94,104434.434589
95,61398.86930600001
96,161925.23694599996
97,43137.84760949999
98,31194.562401499996
99,89914.178614
100,40192.47687649999
101,63537.386219
102,155911.48248200002
103,18291.0745425
104,31149.694513000013
105,38701.771862
106,47583.141251
107,209296.0730875
108,31109.72394799999
109,96461.40494800001
110,68303.410022
111,42224.645189
112,81880.99634099998
113,91348.47503549999
114,58196.445875
115,28461.123895999997
116,39973.0745145
117,30556.972307500004
118,81145.7657265
119,57754.878657500005
120,74291.22098099998
121,12353.295589600002
122,37145.500249000004
123,75186.2353905
124,21628.589841499997
125,33279.7137265
126,503553.75928500004
127,142012.3084885
128,710273.298085
129,190769.31052500004
130,28083.273437500007
131,150073.184712
132,170395.41371700005
133,16851.667769
134,41249.12707500001
135,88958.85127349998
136,56895.442697000006
137,18233.5146389
138,65704.67482649999
139,229689.94204499997
140,12098.6004244
141,18847.9842605
142,49459.583626499996
143,12512.545032150001
144,51613.557279000015
145,49815.743891499995
146,46217.315544
147,35971.245501499994
148,75915.26703899998
149,254737.86675
150,27633.623057999997
151,28156.6680425
152,37300.29387149999
153,196608.59358749999
154,43735.40967500001
155,79489.80165099999
156,15122.930142969999
157,278246.16365
158,82731.5739105
159,51313.7676295
160,18400.94168725
161,83723.55818099999
162,64552.100936500006
163,96763.51459850001
164,33839.30636149999
165,294889.111064
166,44392.12035050001
167,156418.083392
168,128869.91687750001
169,11321.704607149999
170,22301.856980399996
171,123254.329293
172,45438.511375999995
173,13812.7829157
174,42456.27687750001
175,333205.31414000003
176,222291.87575000004
177,36231.96353250001
178,22244.5380095
179,85440.179126
180,42770.4043005
181,36826.080812
182,29074.372187
183,109244.41220300001
184,20443.815566000005
185,24893.491511000007
186,42279.608108
187,4855.4131727115
188,165240.2178635
189,97080.105762
190,22065.4169995
191,283411.94459499995
192,8448.0196828
193,110778.0068915
